iter	Passed	Remaining
0	35	7129
1	77	7688
2	115	7581
3	156	7663
4	198	7724
5	237	7671
6	282	7784
7	322	7739
8	360	7653
9	402	7655
10	442	7595
11	477	7486
12	519	7472
13	558	7416
14	597	7366
15	639	7349
16	674	7258
17	717	7255
18	757	7214
19	794	7150
20	837	7135
21	876	7092
22	915	7047
23	957	7019
24	992	6949
25	1031	6902
26	1077	6904
27	1115	6852
28	1159	6834
29	1200	6804
30	1239	6757
31	1281	6728
32	1319	6676
33	1352	6602
34	1396	6584
35	1437	6549
36	1474	6496
37	1508	6428
38	1543	6370
39	1581	6325
40	1623	6294
41	1660	6245
42	1702	6216
43	1741	6173
44	1781	6135
45	1820	6096
46	1859	6053
47	1893	5995
48	1935	5963
49	1971	5915
50	2007	5865
51	2046	5825
52	2083	5778
53	2121	5736
54	2160	5695
55	2195	5644
56	2235	5608
57	2274	5567
58	2312	5525
59	2351	5487
60	2390	5446
61	2427	5403
62	2459	5349
63	2496	5304
64	2531	5257
65	2565	5209
66	2606	5174
67	2640	5126
68	2681	5091
69	2723	5057
70	2759	5013
71	2801	4981
72	2838	4937
73	2872	4890
74	2913	4855
75	2949	4812
76	2986	4769
77	3025	4732
78	3064	4693
79	3100	4651
80	3143	4618
81	3181	4577
82	3214	4530
83	3252	4491
84	3286	4445
85	3318	4399
86	3360	4364
87	3400	4327
88	3438	4288
89	3475	4247
90	3513	4209
91	3551	4169
92	3586	4126
93	3622	4084
94	3663	4049
95	3699	4007
96	3736	3967
97	3777	3931
98	3813	3891
99	3852	3852
100	3892	3815
101	3927	3773
102	3964	3733
103	4002	3694
104	4036	3652
105	4072	3611
106	4113	3575
107	4149	3535
108	4186	3495
109	4226	3458
110	4261	3416
111	4297	3376
112	4335	3338
113	4372	3298
114	4405	3256
115	4443	3218
116	4478	3176
117	4515	3138
118	4555	3100
119	4588	3059
120	4625	3019
121	4662	2981
122	4699	2941
123	4734	2901
124	4768	2861
125	4804	2821
126	4838	2781
127	4876	2743
128	4912	2703
129	4947	2663
130	4985	2626
131	5021	2586
132	5055	2546
133	5093	2508
134	5127	2468
135	5163	2429
136	5201	2392
137	5235	2351
138	5268	2312
139	5305	2273
140	5339	2234
141	5377	2196
142	5416	2159
143	5452	2120
144	5485	2080
145	5523	2042
146	5558	2004
147	5591	1964
148	5629	1926
149	5663	1887
150	5696	1848
151	5735	1811
152	5770	1772
153	5804	1733
154	5842	1696
155	5877	1657
156	5911	1619
157	5949	1581
158	5983	1542
159	6017	1504
160	6056	1467
161	6090	1428
162	6123	1389
163	6159	1352
164	6193	1313
165	6226	1275
166	6263	1237
167	6297	1199
168	6332	1161
169	6369	1123
170	6403	1085
171	6436	1047
172	6469	1009
173	6508	972
174	6540	934
175	6574	896
176	6608	858
177	6641	820
178	6672	782
179	6711	745
180	6746	708
181	6779	670
182	6816	633
183	6849	595
184	6882	558
185	6919	520
186	6949	483
187	6982	445
188	7018	408
189	7049	371
190	7083	333
191	7114	296
192	7148	259
193	7182	222
194	7213	184
195	7248	147
196	7281	110
197	7312	73
198	7348	36
199	7380	0
